runtime,cores,log(cores),number_of_files
193.0,1.0,0.0,5
188.0,1.0,0.0,5
196.0,1.0,0.0,5
189.0,2.0,0.30103,5
190.0,2.0,0.30103,5
193.0,2.0,0.30103,5
119.0,4.0,0.60206,5
109.0,4.0,0.60206,5
117.0,4.0,0.60206,5
46.0,8.0,0.90309,5
45.0,8.0,0.90309,5
58.0,8.0,0.90309,5
35.0,12.0,1.07918,5
38.0,12.0,1.07918,5
37.0,12.0,1.07918,5
31.0,16.0,1.20412,5
33.0,16.0,1.20412,5
32.0,16.0,1.20412,5
29.0,20.0,1.30103,5
30.0,20.0,1.30103,5
29.0,20.0,1.30103,5
30.0,24.0,1.38021,5
32.0,24.0,1.38021,5
32.0,24.0,1.38021,5
29.0,28.0,1.44716,5
28.0,28.0,1.44716,5
32.0,28.0,1.44716,5
29.0,32.0,1.50515,5
30.0,32.0,1.50515,5
32.0,32.0,1.50515,5
384.0,1.0,0.0,10
380.0,1.0,0.0,10
379.0,1.0,0.0,10
306.0,2.0,0.30103,10
293.0,2.0,0.30103,10
306.0,2.0,0.30103,10
187.0,4.0,0.60206,10
175.0,4.0,0.60206,10
178.0,4.0,0.60206,10
86.0,8.0,0.90309,10
86.0,8.0,0.90309,10
88.0,8.0,0.90309,10
57.0,12.0,1.07918,10
55.0,12.0,1.07918,10
56.0,12.0,1.07918,10
46.0,16.0,1.20412,10
48.0,16.0,1.20412,10
48.0,16.0,1.20412,10
42.0,20.0,1.30103,10
38.0,20.0,1.30103,10
38.0,20.0,1.30103,10
38.0,24.0,1.38021,10
40.0,24.0,1.38021,10
40.0,24.0,1.38021,10
36.0,28.0,1.44716,10
34.0,28.0,1.44716,10
33.0,28.0,1.44716,10
35.0,32.0,1.50515,10
35.0,32.0,1.50515,10
35.0,32.0,1.50515,10
